id;date;start_time;end_time;format;comment;video_link;address;status;creation_date
1;2025-01-03;"20:45";"23:41";IN_PERSON;terriblement;jadis clac;céans;AVAILABLE;2025-01-02T18:58:47
2;2025-01-03;"02:23";"04:10";ONLINE;vétuste;ronron bè;partout de sorte que raide;UNAVAILABLE;2025-01-02T19:09:04
3;2025-01-02;"20:40";"14:42";ONLINE;ouf étant donné que;conseil municipal obtenir;tandis que partenaire cocorico;UNAVAILABLE;2025-01-02T23:28:36
4;2025-01-03;"20:42";"02:54";ONLINE;âcre raser touriste;énorme outre vroum;debout pff affable;AVAILABLE;2025-01-03T17:12:31
5;2025-01-03;"03:58";"06:01";ONLINE;comme gai;partenaire à la merci insuffisamment;ronron;UNAVAILABLE;2025-01-03T03:04:55
6;2025-01-03;"08:01";"13:41";IN_PERSON;oups ci;détacher en bas de triompher;direction spécialiste commissionnaire;UNAVAILABLE;2025-01-02T23:44:16
7;2025-01-03;"22:48";"14:30";IN_PERSON;adepte dîner;plouf adepte;taper;PENDING;2025-01-02T20:50:07
8;2025-01-03;"20:28";"09:04";IN_PERSON;vétuste;aux environs de;touriste;AVAILABLE;2025-01-03T06:55:46
9;2025-01-03;"20:08";"15:12";ONLINE;bon dès que;jamais serviable;de façon à ce que broum repartir;PENDING;2025-01-03T16:42:50
10;2025-01-03;"19:42";"17:04";IN_PERSON;séculaire;jusqu’à ce que novice tellement;bzzz gestionnaire hors de;UNAVAILABLE;2025-01-03T05:18:04
