id;status;booking_date;modification_date
1;CONFIRMED;2025-01-03T13:33:25;2025-01-03T15:36:45
2;PENDING;2025-01-03T15:22:50;2025-01-03T11:01:38
3;CANCELLED;2025-01-02T20:47:12;2025-01-02T23:05:25
4;CANCELLED;2025-01-02T18:39:42;2025-01-03T02:38:19
5;CANCELLED;2025-01-02T22:11:24;2025-01-03T02:10:45
6;CONFIRMED;2025-01-03T17:59:20;2025-01-03T13:27:16
7;PENDING;2025-01-03T08:11:53;2025-01-03T09:10:29
8;CONFIRMED;2025-01-02T23:07:25;2025-01-02T22:56:47
9;PENDING;2025-01-03T14:11:55;2025-01-03T10:25:52
10;PENDING;2025-01-03T13:55:10;2025-01-03T11:05:48
